"","x"
"1082",996092
"1083",986266
"1084",973568
"1085",987634
"1086",993777
"1087",999801
"1088",994395
"1089",986654
"1090",972458
"1091",984330
"1092",995595
"1093",1001803
"1094",996756
"1095",988307
"1096",976472
"1097",991790
"1098",998538
"1099",1001803
"1100",996723
"1101",988999
"1102",974743
"1103",992708
"1104",997751
"1105",1001814
"1106",996858
"1107",987885
"1108",973081
"1109",989894
"1110",999097
"1111",1003200
"1112",997560
"1113",989088
"1114",979144
"1115",995547
"1116",1000328
"1117",1004463
"1118",998574
"1119",988202
"1120",978932
"1121",996564
"1122",999872
"1123",1004585
"1124",998494
"1125",986961
"1126",976669
"1127",994248
"1128",1001329
"1129",1005805
"1130",999945
"1131",988937
"1132",983791
"1133",998788
"1134",1003561
"1135",1005926
"1136",998292
"1137",988168
"1138",981716
"1139",998320
"1140",1003267
"1141",1004413
"1142",998582
"1143",986819
"1144",978835
"1145",997502
"1146",1003762
"1147",1005449
"1148",999045
"1149",987286
"1150",986386
"1151",1001451
"1152",1005476
"1153",1004586
"1154",999087
"1155",986547
"1156",984383
"1157",999981
"1158",1004696
"1159",1003768
"1160",997686
"1161",984770
"1162",981552
"1163",999311
"1164",1004956
"1165",1003880
"1166",998382
"1167",986004
"1168",990164
"1169",1003040
"1170",1007537
"1171",1004275
"1172",999259
"1173",983971
"1174",989707
"1175",1002967
"1176",1007034
"1177",1005397
"1178",999021
"1179",984263
"1180",987879
"1181",1004419
"1182",1009562
"1183",1006867
"1184",1000973
"1185",987481
"1186",998234
"1187",1007842
"1188",1010355
"1189",1008484
"1190",1000683
"1191",984856
"1192",998756
"1193",1006826
"1194",1011243
"1195",1009518
"1196",1001197
"1197",985505
"1198",998221
"1199",1008753
"1200",1014029
"1201",1011047
"1202",1003071
"1203",989611
"1204",1006183
"1205",1012004
"1206",1015708
"1207",1012948
"1208",1003655
"1209",988818
"1210",1005134
"1211",1012491
"1212",1016950
"1213",1011722
"1214",1003452
"1215",989124
"1216",1004971
"1217",1013426
"1218",1019538
"1219",1014061
